file_name,word_count1, avg_sentence_length1, sentence_count1, difficult_words1, avg_syllables_per_word1, poly_syllable_count1,Avg_wordLength1, Avg_SentLenghtByCh1, Avg_SentLenghtByWord1,CountSpecialCharacter1, CountPuncuation1,CountFunctionalWords1, AvgWordFrequencyClass1,typeTokenRatio1, BrunetsMeasureW1,YulesCharacteristicK1, ShannonEntropy1,SimpsonsIndex1, smog_index1, gunning_fog1,flesch_reading_ease1, dale_chall_readability_score1
121.txt,793,9.011363636363637,88,82,0.9,76,4.070484581497797,48.676923076923075,9.307692307692308,0.0009293680297397769,0.040272614622057,0.46906474820143884,3.1280575539568347,0.391358024691358,47.80473933370969,1365.9748460224625,7.448403527803842,0.9897539029295296,8.4,9.740737131720739,121.55,5.72

122.txt,522,8.847457627118644,59,54,0.9,52,3.9602649006622515,55.432432432432435,10.18918918918919,0.0,0.04312410158121706,0.49130434782608695,2.5130434782608697,0.41198501872659177,35.20176597132923,1512.6654064272211,6.998467803452776,0.9878658709860756,8.5,9.676914085330218,121.71,5.71

123.txt,1208,13.130434782608695,92,84,1.0,89,4.419558359621451,63.4375,12.5,0.002328288707799767,0.03667054714784633,0.5222868217054264,3.4040697674418605,0.2692307692307692,46.378184528552616,720.4344690823868,7.271280445531163,0.9859792178888563,8.7,10.033630866685863,108.91,5.39

124.txt,1636,11.52112676056338,142,130,1.0,119,4.744060475161987,89.19753086419753,15.938271604938272,0.0012320328542094457,0.032032854209445585,0.589273112208892,3.1397318278052224,0.33947206875383673,75.08374891533866,980.7912688400604,8.061863012763354,0.9919221399551053,8.4,9.786934811804816,110.54,5.46

125.txt,1362,9.140939597315436,149,138,0.9,129,4.289795918367347,48.276785714285715,9.223214285714286,0.002355926060166727,0.03896339253352664,0.5213228894691035,2.8372497824194953,0.33605947955390336,63.26838600272692,1018.8297085065077,7.80665061137076,0.9916394501505627,8.4,9.709239275049523,121.42,5.69

126.txt,1353,11.181818181818182,121,109,1.0,98,4.975574712643678,52.345454545454544,9.618181818181819,0.005114217524718718,0.04312990112512786,0.646690518783542,3.716457960644007,0.3515981735159817,64.79709042632867,1122.6282557979525,7.8259310116995735,0.9896845466789878,8.3,9.69519586104952,110.89,5.46

127.txt,1047,15.626865671641792,67,66,1.1,64,4.965714285714285,84.21428571428571,16.017857142857142,0.002305596311045902,0.02452316076294278,0.6304347826086957,3.485869565217391,0.3779296875,55.21825419000259,1150.4017013232515,7.690138687104053,0.9900080427686048,8.7,10.772236240003423,97.91,5.41

128.txt,769,10.253333333333334,75,68,1.0,63,4.169265033407572,70.37777777777778,13.177777777777777,0.0021800062285892243,0.03612581750233572,0.6023564064801178,2.6273932253313697,0.40051347881899874,46.748613979681956,1368.7719747267597,7.5133299930894,0.9914241401331996,8.4,9.638394451668834,111.83,5.54

