word_count1, avg_sentence_length1, sentence_count1, difficult_words1, avg_syllables_per_word1, poly_syllable_count1,Avg_wordLength1, Avg_SentLenghtByCh1, Avg_SentLenghtByWord1,CountSpecialCharacter1, CountPuncuation1,CountFunctionalWords1, AvgWordFrequencyClass1,typeTokenRatio1, BrunetsMeasureW1,YulesCharacteristicK1, ShannonEntropy1,SimpsonsIndex1, smog_index1, gunning_fog1,flesch_reading_ease1, dale_chall_readability_score1,0
1077,24.477272727272727,44,44,1.2,44,5.510344827586207,141.64864864864865,24.64864864864865,0.005677517032551098,0.01684330052990159,0.6461377870563675,3.3444676409185803,0.4359464627151052,65.38091076691973,1437.5809031515728,8.054159774360238,0.9933595548022155,8.8,13.425078078838524,80.47,1.86,2
843,24.085714285714285,35,35,1.2,35,5.955654101995566,127.27272727272727,21.363636363636363,0.006355932203389831,0.02024482109227872,0.672627235213205,3.2448418156808803,0.449079754601227,54.459554408979145,1621.1787811075646,7.739576052902562,0.9918605840826674,8.8,13.295021182850366,80.87,1.85,2
1179,26.2,45,45,1.4,45,6.272,155.4,25.25,0.0035110118097669966,0.017235876157037984,0.7359389895138226,3.4775977121067685,0.3953287197231834,64.81546941892343,1232.7142559848637,7.88341887671081,0.9907545535915703,8.8,14.00671755725191,61.8,1.9,2
1108,20.51851851851852,54,53,1.2,52,5.471971066907776,129.09756097560975,23.463414634146343,0.003931847968545216,0.016850777008050925,0.6207584830339321,3.684630738522954,0.3961397058823529,61.77210424196168,1237.445269142354,7.738397592671883,0.9894995224336541,8.7,12.12076480812943,84.49,1.77,2
1016,21.166666666666668,48,48,1.1,48,5.054368932038835,106.66666666666667,19.261904761904763,0.007068698917605479,0.026949414623370884,0.56601607347876,3.444316877152698,0.4532520325203252,64.9709396012248,1776.2815350079945,7.933704530256191,0.9919025561845942,8.8,12.356430446194226,92.29,1.8,2
836,32.15384615384615,26,26,1.3,26,6.092436974789916,189.95652173913044,30.782608695652176,0.009536784741144414,0.012034514078110809,0.75,3.2676630434782608,0.4568210262828536,54.20656355923299,1624.9704631379961,7.679325061379805,0.9909531203785862,8.8,16.105557600294443,64.22,2.09,2
1225,17.5,70,70,1.2,70,5.302675585284281,95.50847457627118,17.406779661016948,0.004736842105263158,0.02280701754385965,0.5898876404494382,3.207865168539326,0.40421940928270045,67.66001137144592,1295.6767523741391,8.002267193188803,0.9925005879482887,8.8,11.285714285714286,87.55,5.41,2
928,22.634146341463413,41,41,1.3,41,5.8173076923076925,126.45945945945945,21.054054054054053,0.0050750687248889825,0.01882004652146331,0.7128953771289538,3.2773722627737225,0.41034103410341033,54.505981826929386,1349.5953729850048,7.638623231237992,0.9899475744670763,8.8,12.820899915895712,73.88,1.82,2
1013,25.325,40,39,1.2,39,5.76280834914611,154.03125,26.0625,0.006031363088057901,0.01950140731805388,0.6681715575620768,3.3329571106094806,0.44081632653061226,62.5972768706854,1591.6769002644598,7.8541079127179945,0.9915062937598041,8.8,13.669980256663377,79.61,1.86,2
1164,32.333333333333336,36,36,1.3,36,6.206070287539936,180.7058823529412,29.205882352941178,0.003067979977393832,0.01840787986436299,0.6679462571976967,3.8109404990403073,0.38594969644405897,63.582750739391884,1253.2373517633666,7.723278532177919,0.9873571292921135,8.8,16.17044673539519,64.04,2.09,2
